,0
139,"071817010220,110303,H2S,1707,251.73"
140,"071817010443,110303,H2S,1707,274.90"
141,"071817010215,110303,H2S,1707,266.53"
142,"071817010218,110303,H2S,1707,284.11"
143,"071817010205,110303,H2S,1707,256.80"
144,"071817010214,110303,H2S,1707,269.11"
145,"071817010216,110303,H2S,1707,236.76"
146,"071817010425,110303,H2S,1707,250.21"
147,"071817010206,110303,H2S,1707,259.03"
148,"071817010256,110303,H2S,1707,280.73"
149,"071817010457,110303,H2S,1707,273.32"
150,"071717010142,110501,NO2,1707,-32.33"
151,"071717010118,110501,NO2,1707,-30.15"
152,"071717010121,110501,NO2,1707,-32.21"
153,"071717010419,110501,NO2,1707,-39.82"
154,"071717010101,110501,NO2,1707,-39.06"
155,"071717010107,110501,NO2,1707,-36.00"
156,"071717010411,110501,NO2,1707,-43.28"
157,"071717010111,110501,NO2,1707,-33.70"
158,"071717010408,110501,NO2,1707,-39.43"
159,"071717010155,110501,NO2,1707,-30.25"
160,"071717010134,110501,NO2,1707,-36.70"
161,"071717010412,110501,NO2,1707,-41.14"
162,"071717010406,110501,NO2,1707,-41.12"
163,"071717010150,110501,NO2,1707,-30.22"
164,"071717010113,110501,NO2,1707,-34.06"
165,"071717010456,110501,NO2,1707,-37.16"
166,"071717010439,110501,NO2,1707,-44.62"
167,"071717010133,110501,NO2,1707,-38.16"
168,"071717010109,110501,NO2,1707,-37.12"
169,"071717010131,110501,NO2,1707,-37.92"
170,"071717010137,110501,NO2,1707,-39.06"
171,"071717010459,110501,NO2,1707,-43.55"
172,"071717010117,110501,NO2,1707,-31.03"
173,"071717010432,110501,NO2,1707,-37.32"
174,"071717010148,110501,NO2,1707,-29.26"
175,"071717010415,110501,NO2,1707,-44.89"
176,"071717010124,110501,NO2,1707,-32.14"
177,"071717010132,110501,NO2,1707,-36.81"
178,"071717010128,110501,NO2,1707,-28.30"
179,"071717010127,110501,NO2,1707,-30.49"
180,"071717010149,110501,NO2,1707,-29.47"
181,"071717010126,110501,NO2,1707,-29.86"
182,"071717010123,110501,NO2,1707,-30.09"
183,"071717010125,110501,NO2,1707,-31.76"
184,"071717010136,110501,NO2,1707,-36.12"
185,"071717010427,110501,NO2,1707,-37.01"
186,"071717010460,110501,NO2,1707,-41.01"
187,"071717010122,110501,NO2,1707,-31.78"
188,"071717010112,110501,NO2,1707,-33.84"
189,"071717010455,110501,NO2,1707,-43.54"
190,"071717010115,110501,NO2,1707,-32.17"
191,"071717010441,110501,NO2,1707,-41.70"
192,"071717010103,110501,NO2,1707,-37.96"
193,"071717010130,110501,NO2,1707,-27.85"
194,"071717010436,110501,NO2,1707,-40.50"
195,"071717010116,110501,NO2,1707,-31.59"
196,"071717010454,110501,NO2,1707,-43.37"
197,"071717010426,110501,NO2,1707,-38.36"
198,"071717010143,110501,NO2,1707,-31.16"
199,"071717010151,110501,NO2,1707,-31.81"
